 
log File 
 
User : hannuo 
2021/10/15 周五 
11:28
 
Process Ran by hannuo 
 

映像名称                       PID 会话名              会话#       内存使用 
                                       fec0:0:0:ffff::2%1
                                       fec0:0:0:ffff::3%1
   TCPIP 上的 NetBIOS  . . . . . . . : 已启用

以太网适配器 VMware Network Adapter VMnet8:

   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : VMware Virtual Ethernet Adapter for VMnet8
   物理地址. . . . . . . . . . . . . : 00-50-56-C0-00-08
   DHCP 已启用 . . . . . . . . . . . : 是
   自动配置已启用. . . . . . . . . . : 是
   本地链接 IPv6 地址. . . . . . . . : fe80::5541:91b9:1891:a8fc%6(首选) 
   IPv4 地址 . . . . . . . . . . . . : 192.168.222.1(首选) 
   子网掩码  . . . . . . . . . . . . : 255.255.255.0
   获得租约的时间  . . . . . . . . . : 2021年10月15日 11:20:07
   租约过期的时间  . . . . . . . . . : 2021年10月15日 11:50:07
   默认网关. . . . . . . . . . . . . : 
   DHCP 服务器 . . . . . . . . . . . : 192.168.222.254
   DHCPv6 IAID . . . . . . . . . . . : 520114262
   DHCPv6 客户端 DUID  . . . . . . . : 00-01-00-01-25-6E-74-B9-40-B0-76-47-D7-01
   DNS 服务器  . . . . . . . . . . . : fec0:0:0:ffff::1%1
                                       fec0:0:0:ffff::2%1
                                       fec0:0:0:ffff::3%1
   主 WINS 服务器  . . . . . . . . . : 192.168.222.2
   TCPIP 上的 NetBIOS  . . . . . . . : 已启用

以太网适配器 VMware Network Adapter VMnet5:

   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : VMware Virtual Ethernet Adapter for VMnet5
   物理地址. . . . . . . . . . . . . : 00-50-56-C0-00-05
   DHCP 已启用 . . . . . . . . . . . : 否
   自动配置已启用. . . . . . . . . . : 是
   本地链接 IPv6 地址. . . . . . . . : fe80::8525:1b0:17dd:6c4c%18(首选) 
   IPv4 地址 . . . . . . . . . . . . : 192.168.2.4(首选) 
   子网掩码  . . . . . . . . . . . . : 255.255.255.0
   默认网关. . . . . . . . . . . . . : 192.168.2.107
   DNS 服务器  . . . . . . . . . . . : 192.168.2.107
   TCPIP 上的 NetBIOS  . . . . . . . : 已启用

以太网适配器 VMware Network Adapter VMnet3:

   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : VMware Virtual Ethernet Adapter for VMnet3
   物理地址. . . . . . . . . . . . . : 00-50-56-C0-00-03
   DHCP 已启用 . . . . . . . . . . . : 否
   自动配置已启用. . . . . . . . . . : 是
   本地链接 IPv6 地址. . . . . . . . : fe80::b942:c6bb:ce0c:8166%30(首选) 
   IPv4 地址 . . . . . . . . . . . . : 192.168.0.115(首选) 
   子网掩码  . . . . . . . . . . . . : 255.255.255.0
   默认网关. . . . . . . . . . . . . : 192.168.0.107
   DNS 服务器  . . . . . . . . . . . : 192.168.0.107
   TCPIP 上的 NetBIOS  . . . . . . . : 已启用

以太网适配器 VMware Network Adapter VMnet9:

   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : VMware Virtual Ethernet Adapter for VMnet9
   物理地址. . . . . . . . . . . . . : 00-50-56-C0-00-09
   DHCP 已启用 . . . . . . . . . . . : 否
   自动配置已启用. . . . . . . . . . : 是
   本地链接 IPv6 地址. . . . . . . . : fe80::9d24:5161:9fef:2a20%29(首选) 
   IPv4 地址 . . . . . . . . . . . . : 192.168.2.5(首选) 
   子网掩码  . . . . . . . . . . . . : 255.255.255.0
   默认网关. . . . . . . . . . . . . : 192.168.2.107
   DNS 服务器  . . . . . . . . . . . : 192.168.2.107
   TCPIP 上的 NetBIOS  . . . . . . . : 已启用

以太网适配器 以太网 4:

   连接特定的 DNS 后缀 . . . . . . . : www.tendawifi.com
   描述. . . . . . . . . . . . . . . : Realtek PCIe GbE Family Controller #2
   物理地址. . . . . . . . . . . . . : 40-B0-76-47-D7-01
   DHCP 已启用 . . . . . . . . . . . : 是
   自动配置已启用. . . . . . . . . . : 是
   本地链接 IPv6 地址. . . . . . . . : fe80::a41d:6174:ee3:4ecb%7(首选) 
   IPv4 地址 . . . . . . . . . . . . : 192.168.0.106(首选) 
   子网掩码  . . . . . . . . . . . . : 255.255.255.0
   获得租约的时间  . . . . . . . . . : 2021年10月15日 11:20:19
   租约过期的时间  . . . . . . . . . : 2021年10月16日 11:20:08
   默认网关. . . . . . . . . . . . . : 192.168.0.1
   DHCP 服务器 . . . . . . . . . . . : 192.168.0.1
   DHCPv6 IAID . . . . . . . . . . . : 121679990
   DHCPv6 客户端 DUID  . . . . . . . : 00-01-00-01-25-6E-74-B9-40-B0-76-47-D7-01
   DNS 服务器  . . . . . . . . . . . : 192.168.0.1
   TCPIP 上的 NetBIOS  . . . . . . . : 已启用

以太网适配器 蓝牙网络连接 4:

   媒体状态  . . . . . . . . . . . . : 媒体已断开连接
   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : Bluetooth Device (Personal Area Network) #4
   物理地址. . . . . . . . . . . . . : 00-1A-7D-DA-71-13
   DHCP 已启用 . . . . . . . . . . . : 是
   自动配置已启用. . . . . . . . . . : 是
